Id,commonName,botanicalName,plantPic,plantsLink,wateringInformation,typeOf,exposure,generalInformation,plantingGuide,pestsDiseases,careGuide
1,Jade,Crassula argentea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/jade.jpg?itok=IeWF_2f4,http://www.almanac.com/plant/jade,1,Houseplant,Part Sun,"Jade plants can grow to a height of 24 inches when indoors. They have a shrub-like form with thick branches and smooth, oval-shaped leaves. The plants are fairly resilient and easy to grow.",null,null,"Allow to dry between waterings, keeping the soil moderately dry. If shedding or brown spots occur on the leaves, however, it is an indication the plant needs more water. During the winter months you can water less, but do not let it over-dry."
2,Peaches,Prunus persica,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/peaches.jpg?itok=GuHqaR75,http://www.almanac.com/plant/peaches,2,Fruit,Full Sun,"Peaches are a well-known, delicious fruit that can be grown right at home. The trick to growing your very own peaches is to choose a type that will fit with your specific climate.",null,null,"About 6 weeks after planting, fertilize the young trees with 1 pound of a nitrogen fertilizer. During the second year, add ¾ pound of nitrogen fertilizer once in the spring and once in the early summer. After the third year, add about 1 pound of actual nitrogen per year to the mature trees in the spring. To help make the tree hardier, do not fertilize it within 2 months of the first fall frost date or when the fruits are maturing. Be sure to prune the tree to an open center shape. In the summer of the first year, cut the vigorous shoots that form on the top of the tree by two or three buds. After about a month, check the tree. As soon as you have three wide-angled branches, spaced equally apart, cut back any other branches so that these three are the main branches. In the early summer of the second year, cut back the branches in the middle of the tree to short stubs and prune any shoots developing below the three main branches. After the third year, remove any shoots in the center of the tree to keep its shape. Be sure to prune the tree annually to encourage production. Pruning is usually done mid to late April. Pinching the trees in the summer is also helpful. Prune and fertilize to accomplish 10-18 inches of new growth each season. Thin the fruits so that they are 6 to 8 inches apart on the branch after the tree blooms (about 4 to 6 weeks). This ensures that the fruits will be larger. A plastic lean-to can protect fan-trained peach trees from peach leaf curl and frost in the winter. To help increase resistance to fruit diseases, be sure to prune the trees, thin the fruit, and pick the fruit when it is ripe."
3,Radishes,Raphanus sativus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_2772.jpg?itok=ed1iMo98,http://www.almanac.com/plant/radishes,2,Vegetable,Full Sun,"Radishes are a hardy, cool-season vegetable that can produce many crops each season due to its rapid days to maturity. Radishes can be planted in both the spring and the fall, but growing should be suspended in the warmer months. They are a very easy vegetable to grow.",null,null,Radishes require well-drained soil with consistent moisture. Keep soil evenly moist but not waterlogged. Thin radishes to about an inch apart when the plants are a week old. You will be amazed at the results.
4,Shasta Daisies,Leucanthemum x superbum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/ShastaDaisy.jpg?itok=EUkOqSTc,http://www.almanac.com/plant/shasta-daisies,3,Flower,Full Sun,The cheerful shasta daisy is a classic perennial. It looks similar to the familiar roadside daisy but has larger and more robust blooms.,null,"Aphids, slugs, earwigs, chrysanthemum nematode, and leaf spots may be troublesome. However, daisies are generally low maintenance.","Water during the summer only if rainfall is less than 1 inch per week. After the first killing frost, cut stems back to an inch or two above the soil line. Every spring, apply some compost and mulch to help control weeds. Every 3 to 4 years, divide perennials again in early spring or late summer."
5,Daffodils,null,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_4131.jpg?itok=DL-0N6Z7,http://www.almanac.com/plant/daffodils,3,Flower,Full Sun,Where to buy daffodil bulbs: Burpee Gardening,"Select a site that offers full sun or part shade. Most daffodils tolerate a range of soils but grow best in moderately fertile, well-drained soil that is moist during the growing season. Many of the popular species prefer neutral to acidic soils, but some prefer slightly alkaline soils, so consult your nursery.","Daffodils tend to resist deer, rabbits, squirrels, chipmunks, and other rodents (who do not like the taste of the bulbs in the Narcissus family).","Apply a low-nitrogen, high-potash fertilizer after flowering if bulbs are not performing. Water late-flowering daffodils in dry spring weather (flowers may abort in dry conditions). Deadhead plants as flowers fade (for neater garden appearance) and allow leaves to remain for at least 6 weeks. Lift and divide the clumps when flowering becomes sparse or the clumps congested. After they bloom in the spring, allow the plants to grow until they die off. They need time after blooming to store energy in the bulbs for next year. To remove the dead plants, either snip them off at the base, or twist the leaves while pulling lightly. Once daffodils and tulips have gone by, add bonemeal to the soil for next year's blooms."
6,Thyme,Thymus vulgaris,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/thyme.jpg?itok=VCVBtCb2,http://www.almanac.com/plant/thyme,3,Herb,Full Sun,"Thyme is a small perennial shrub with lots of branches and light purple to pink flowers. It's aromatic and has a pleasant, pungent, clover flavor. There are over fifty varieties used in cooking and gardening. English thyme is used most often in cooking.",null,null,"Water normally and remember to trim the plants. Prune the plants back in the spring and summer to contain the growth. You can take some cuttings and plant them indoors in pots, too.If you have cold winters, remember to lightly mulch around the plants after the ground freezes."
7,Cantaloupe,Cucumis melo,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/muskmelon.jpg?itok=HL2SFAgz,http://www.almanac.com/plant/cantaloupe,2,Fruit,Full Sun,"What we commonly refer to as €˜cantaloupe' is actually not true cantaloupe, rather, a type of muskmelon. (True cantaloupe has a rough, warty rind and is not widely grown or commercially available in the US.) Muskmelons are a heat-loving fruit with a long growing season. Their cultural and growing requirements are very similar to other melons. They have a net-like, tan rind, and sweet orange flesh. The names muskmelon and cantaloupe are used interchangeably. We will use the name cantaloupe for this page to avoid confusion.",null,null,"Cantaloupe likes loamy, well-drained soil. Handle them gently when you transplant. Add lots of compost to the area before planting and after planting. Mulching with black plastic will serve multiple purposes: it will warm the soil, hinder weed growth and keep developing fruits clean. Fertilize when vines start growing. Row covers are a good idea to keep pests at bay. While melon plants are growing, blooming, and setting fruit, they need 1 to 2 inches of water per week. Water in the morning, and try to avoid wetting the leaves. Reduce watering once fruit are growing. Dry weather produces the sweetest melon. If you've had an exceptional amount of rainfall during the ripening stage, this could cause the bland fruit. Once fruit begins to grow, prune end buds off vines. Your plants may produce fewer melons, but they will be larger and of better quality. Vines produce male and female flowers separately on the same plant. They often begin producing male flowers several weeks before the females appear. (Don't be discouraged when the first blooms do not produce fruit.) Blossoms require pollination to set fruit, so be kind to the bees!"
8,Coriander and Cilantro,Coriandrum sativum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/cilantro1.jpg?itok=MOWk4_eQ,http://www.almanac.com/plant/coriander-and-cilantro,2,Herb,Full Sun,"Coriander/cilantro is a fast-growing, aromatic herb that grows in the cooler weather of spring and fall.",null,"To control for insects, use insecticidal soap once they are spotted under leaves.","Water the seedlings regularly throughout the growing season. They require about 1 inch of water per week for best growth. Thin seedlings to 6 inches apart so that they have room to develop healthy leaves. Once the plants are established, they do not need as much water per week. Keep them moist, but be careful not to overwater them. Fertilize once or twice during the growing season with nitrogen fertilizer. Apply ¼ cup of fertilizer per 25 feet of row. Be sure not to over-fertilizer the plants. To help prevent weeds, mulch around the plants as soon as they are visible above the soil. You can also till shallowly to help prevent root damage from weeds."
9,Crocuses,Crocus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_7075.jpg?itok=syx3_HhO,http://www.almanac.com/plant/crocuses,3,Flower,Full Sun,"When it seems like winter will never lose its icy grip, the dainty goblet-shaped crocus pushes through the snow to put on a show of colorful revival. If you are not planting this perennial bulb, you are missing an early season of delight.",null,null,"Apply a balanced fertilizer in early autumn if your spring is short and the days heat up fast; or, apply fertilizer after bulbs flower if your spring is long and temperate; bulbs will have a chance to use the extra nutrients to produce bigger carbohydrate stores. Through the autumn, keep crocus beds watered if weather gets dry but do not waterlog. Cover the beds with mulch before the winter. In late February, remove mulches from snowdrops and crocuses so the shoots can come through. In February and March, keep plastic milk jugs or other coverings on hand to protect the flowers of crocuses and other early bloomers against the return of severe weather. If you have crocuses growing in your lawn in mid-Spring, don't mow until their leaves have died down."
10,Brussels Sprouts,,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/brusselssprouts.jpg?itok=Ni4_XA__,http://www.almanac.com/plant/brussels-sprouts,3,Vegetable,Full Sun,"Brussels Sprouts are a member of the cabbage family, and an excellent source of protein and vitamins. They have a long growing season, and are generally more successful when grown for a fall harvest, as they only increase in flavor after a light frost or two.",null,null,"Fertilize three weeks after transplanting. Mulch to retain moisture and keep the soil temperature cool. Do not cultivate, roots are shallow and susceptible to damage."
